redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
78858,21547,51583,3365,3570,212,865,160000,42.3937878624,-71.1685004359
51259,52376,47688,4113,3673,96,795,160000,42.3938004405,-71.1687909892
74120,20234,57367,1759,5258,334,928,160000,42.3938243986,-71.1686283399
23182,72778,59364,909,1923,260,1584,160000,42.3938397511,-71.168917376
86819,13642,51025,1885,5623,80,926,160000,42.3938609349,-71.168756244
34994,51693,67615,3117,1884,166,531,160000,42.3938790618,-71.1690437629
15466,95929,41691,2320,3860,67,667,160000,42.3938900352,-71.168845601
48727,57074,46667,2951,3256,638,687,160000,42.3939183724,-71.1691701499
10656,100713,37505,5220,5322,106,478,160000,42.3939296704,-71.168971802
16001,97394,38318,3680,3916,131,560,160000,42.3939693056,-71.1690980031
27436,74692,54057,654,2095,336,730,160000,42.3939969937,-71.1694229241
17766,106831,30105,1435,3143,27,693,160000,42.3940089408,-71.1692242043
24943,57113,74087,729,2018,261,849,160000,42.3940363043,-71.1695493114
30643,59996,66063,525,1796,226,751,160000,42.3940756149,-71.1696756987
11326,110989,33232,1655,2196,28,574,160000,42.3940882111,-71.1694766069
33594,52733,70363,830,1717,319,444,160000,42.3941149256,-71.1698020861
9600,105935,39762,1382,2104,46,1171,160000,42.3941278463,-71.1696028083
36076,62606,54926,2835,2414,786,357,160000,42.3941542362,-71.1699284735
10234,104667,32478,8716,3394,121,390,160000,42.3941674815,-71.1697290098
31987,75481,46216,2057,2510,529,1220,160000,42.3941935468,-71.1700548611
9592,117961,27402,1430,3277,113,225,160000,42.3942071167,-71.1698552114
18828,57502,80709,527,1081,230,1123,160000,42.3942328575,-71.1701812487
20370,91464,40374,3755,3262,35,740,160000,42.3942467519,-71.1699814131
51205,51266,45855,5867,5140,37,630,160000,42.3942721681,-71.1703076364
22885,86624,35819,9876,3939,135,722,160000,42.3942863871,-71.1701076148
41540,51506,59265,4137,3095,51,406,160000,42.3943114787,-71.1704340242
24779,79512,43296,4532,6781,61,1039,160000,42.3943260223,-71.1702338167
42709,45700,64720,2499,3330,105,937,160000,42.3943507894,-71.1705604121
41059,50236,53206,8422,5223,18,1836,160000,42.3943656575,-71.1703600186
47486,38495,63266,5323,2213,25,3192,160000,42.3943767146,-71.1706445639
34256,60389,48873,11915,3801,52,714,160000,42.3944052927,-71.1704862206
26437,33574,95442,2013,1483,41,1010,160000,42.3944166801,-71.1707705748
11708,42190,79096,20486,3286,15,3219,160000,42.3944449279,-71.1706124226
27793,41704,87054,820,1271,345,1013,160000,42.3944566455,-71.1708965858
34432,60380,60798,1501,1378,200,1311,160000,42.3944967619,-71.1707766712
46512,43266,65222,2392,2087,117,404,160000,42.3945365764,-71.171148608
28875,93037,33578,1590,2284,178,458,160000,42.3945366239,-71.1709027424
46554,70666,29767,6461,5694,160,698,160000,42.3945764858,-71.1710288137
53967,38205,61347,2885,2553,289,754,160000,42.3945765419,-71.1712746192
40709,85566,29462,376,2822,103,962,160000,42.3946163477,-71.1711548852
38296,70518,44670,1321,3472,286,1437,160000,42.3946165073,-71.1714006305
27977,81724,45928,655,2202,287,1227,160000,42.3946562096,-71.1712809566
26094,46394,82551,1105,2833,135,888,160000,42.3946564728,-71.1715266419
27059,96768,28835,2455,3244,735,904,160000,42.3946960716,-71.1714070282
39361,53943,55758,6304,2893,729,1012,160000,42.3946964382,-71.1716526533
25583,92620,33975,2995,3523,352,952,160000,42.3947359335,-71.1715330999
32850,56268,65971,1009,2748,85,1069,160000,42.3947364037,-71.1717786649
35969,89545,28808,947,2993,570,1168,160000,42.3947757954,-71.1716591716
