redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
56661,33303,63496,1339,4383,377,441,160000,42.3770157403,-71.1123561987
52197,24520,79159,176,1874,14,2060,160000,42.375263,-71.112743
65384,47613,40055,1101,3140,31,2676,160000,42.3753629079,-71.1127205063
32397,64586,59691,501,2360,233,232,160000,42.3754628159,-71.1126980126
32397,64586,59691,501,2360,233,232,160000,42.3755627238,-71.1126755189
68400,29079,53812,669,3548,65,4427,160000,42.3756626317,-71.1126530251
79784,19789,52070,2512,3113,85,2647,160000,42.3757625397,-71.1126305312
61484,34037,59483,1455,1417,169,1955,160000,42.3758624476,-71.1126080374
39640,46811,67963,949,3587,168,882,160000,42.375947,-71.112589
40560,46801,67332,1102,3137,178,890,160000,42.3759623555,-71.1125855435
65632,38805,47676,662,5624,116,1485,160000,42.3760466365,-71.1125643986
77335,47655,28052,629,5258,56,1015,160000,42.376146273,-71.1125397971
24281,41489,89507,796,1709,270,1948,160000,42.3762459095,-71.1125151956
36227,29859,89927,648,966,593,1780,160000,42.3763455459,-71.1124905941
48499,69382,36312,243,4538,33,993,160000,42.3764451824,-71.1124659925
26394,45268,79534,2322,4758,78,1646,160000,42.376514,-71.112449
27902,43453,79778,2586,4848,61,1372,160000,42.3765448189,-71.1124413909
28521,46642,76371,2002,5010,109,1345,160000,42.3766143481,-71.1124304398
31007,75652,48094,911,3308,247,781,160000,42.3767146961,-71.1124118796
47746,63401,43480,437,2683,25,2228,160000,42.3768150442,-71.1123933193
48593,64146,38967,606,4509,67,3112,160000,42.3769153922,-71.112374759
33332,40690,80876,347,2262,30,2463,160000,42.3770157403,-71.1123561987
60202,55957,31075,477,11319,16,954,160000,42.391785,-71.156604
49075,43708,58764,599,5022,64,2768,160000,42.39188362,-71.1566352252
27925,51773,57588,3026,17634,21,2033,160000,42.3919822399,-71.1566664504
43744,84509,24007,534,5892,119,1195,160000,42.3920808599,-71.1566976757
28562,57090,66326,1943,4026,59,1994,160000,42.392164,-71.156724
28585,56994,66735,2164,3661,55,1806,160000,42.3921794798,-71.156728901
35473,63973,47193,1763,9951,30,1617,160000,42.3922625729,-71.1567554965
40970,63600,44143,1773,8065,651,798,160000,42.3923611458,-71.156786993
30751,56826,64131,1619,5105,100,1468,160000,42.3924597188,-71.1568184895
32980,59113,58756,1927,4258,146,2820,160000,42.3925582917,-71.1568499861
20377,39814,93719,1272,3039,334,1445,160000,42.3926568646,-71.1568814828
19886,40232,92563,1771,3446,452,1650,160000,42.392671,-71.156886
