redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
20170,105680,26562,99,6536,0,953,160000,42.3535003582,-71.10929054
44126,46048,61945,4046,1778,775,1282,160000,42.3535051535,-71.1157881563
37717,48865,35176,21882,15874,33,453,160000,42.3535120601,-71.1043246421
82548,16902,58765,67,638,12,1068,160000,42.3535273718,-71.0829084317
37717,48865,35176,21882,15874,33,453,160000,42.3535353401,-71.1041912615
41159,113643,2315,290,2035,3,555,160000,42.3535437,-71.1095246
74852,24189,58925,16,987,0,1031,160000,42.3535616397,-71.0827794644
41177,54311,54296,4989,4236,81,910,160000,42.3535652316,-71.1158984908
14081,75380,65172,88,946,8,4325,160000,42.3535662715,-71.1096582035
49346,37061,35928,22065,14950,41,609,160000,42.3535819,-71.1039245
35989,66096,47818,265,7606,0,2226,160000,42.3535886695,-71.1103645847
3946,79572,73793,365,899,4,1421,160000,42.3535888429,-71.1097918071
74852,24189,58925,16,987,0,1031,160000,42.3535959077,-71.0826504971
8993,77117,69974,126,2030,11,1749,160000,42.3536114144,-71.1099254107
19353,83157,16471,31166,3079,4,6770,160000,42.3536135,-71.1103056
32684,74343,39754,1380,9865,2,1972,160000,42.3536145092,-71.1104542034
32517,77700,38075,222,7256,0,4230,160000,42.3536236123,-71.1103172526
40210,72058,38237,4395,3654,73,1373,160000,42.3536253097,-71.1160088254
81403,22870,54026,36,1120,3,542,160000,42.3536301756,-71.0825215297
42365,101502,6584,235,8453,7,854,160000,42.3536339859,-71.1100590144
27950,79275,46619,250,4959,14,933,160000,42.3536388,-71.1102455
18018,87469,47375,677,4117,1,2343,160000,42.3536452,-71.1101254
55274,40018,49394,7180,5062,25,3047,160000,42.3536499,-71.1103269
33933,86971,30165,554,7207,2,1168,160000,42.3536515,-71.1101855
15914,84430,52893,613,4003,2,2145,160000,42.3536565573,-71.1101926181
58880,38856,57969,162,2055,20,2058,160000,42.3536579,-71.1103657
31209,53512,65456,1247,6265,7,2304,160000,42.3536594239,-71.1102610922
55172,31128,56901,1308,14103,0,1388,160000,42.3536598978,-71.1035872238
81403,22870,54026,36,1120,3,542,160000,42.3536644436,-71.0823925623
41662,39985,41414,22095,14327,1,516,160000,42.3536644,-71.1035726
73688,29164,55345,4,1111,0,688,160000,42.3536669,-71.0823833
56604,37722,58382,220,6564,38,470,160000,42.3536705,-71.11034
44134,68081,34234,4008,6093,3,3447,160000,42.3536743,-71.1104215
35631,50994,58251,7526,5187,171,2240,160000,42.3536744043,-71.1108015127
45143,64293,39156,4753,5275,119,1261,160000,42.3536769,-71.1107691
20561,34613,88767,8408,6319,15,1317,160000,42.3536849,-71.1106652
59751,68392,26963,642,2987,112,1153,160000,42.3536853877,-71.1161191601
39589,59776,48950,519,8234,1,2931,160000,42.3536896,-71.1104773
21432,33316,89727,7459,6800,15,1251,160000,42.3536896,-71.1105889
23760,32561,90312,5817,6031,17,1502,160000,42.3536896,-71.1106143506
44818,66666,33768,4044,6651,3,4050,160000,42.3536953286,-71.1104930487
73643,29047,55576,2,1135,1,596,160000,42.3536987115,-71.0822635947
45162,39910,39598,23787,10649,5,889,160000,42.3536988582,-71.1034607192
73688,29164,55345,4,1111,0,688,160000,42.3537023163,-71.0822549018
52124,39688,54369,77,12833,9,900,160000,42.3537064608,-71.1103599974
43358,55647,48765,234,11167,3,826,160000,42.3537095314,-71.1105499913
75716,26664,55637,6,1356,0,621,160000,42.3537377327,-71.0821265036
44762,43204,31653,25064,14840,24,453,160000,42.3537378187,-71.1033342145
61554,43319,50547,778,2843,457,502,160000,42.3537454658,-71.1162294949
27627,78725,27467,13742,10379,228,1832,160000,42.3537467042,-71.1108684007
44762,43204,31653,25064,14840,24,453,160000,42.3537767791,-71.1032077098
44970,50028,57039,5218,1572,819,354,160000,42.3538055439,-71.1163398298
76072,28190,53991,3,1231,1,512,160000,42.3538085654,-71.0818697069
50530,37583,31574,24696,15130,2,485,160000,42.3538157396,-71.1030812049
45420,57997,29138,14454,11548,343,1100,160000,42.3538165084,-71.1109677016
49445,39301,30441,23900,16337,46,530,160000,42.3538232931,-71.1030506919
76526,29687,52265,11,1046,0,465,160000,42.3538439817,-71.0817413084
50530,37583,31574,24696,15130,2,485,160000,42.3538547,-71.1029547
41835,67007,43321,3968,2146,382,1341,160000,42.3538656219,-71.1164501649
76667,30721,50314,24,1747,0,527,160000,42.3538793981,-71.0816129098
39183,70745,42820,3231,2599,372,1050,160000,42.3538838459,-71.1164913411
48471,67596,18780,12154,10592,337,2070,160000,42.3538863125,-71.1110670026
96144,31577,29076,18,2577,0,608,160000,42.3538925,-71.0815654
48199,37896,38184,21459,13452,12,798,160000,42.3539053409,-71.1028000823
96547,31351,28943,20,2413,0,726,160000,42.3539148144,-71.0814845112
39239,82030,35489,288,1517,493,944,160000,42.3539257,-71.1165605
102423,26051,27548,108,3264,33,573,160000,42.3539283901,-71.0814372425
48199,37896,38184,21459,13452,12,798,160000,42.3539463649,-71.1026747774
40630,82720,33249,330,1300,696,1075,160000,42.3539480167,-71.1165973727
36135,59542,33828,18097,10991,285,1122,160000,42.3539561167,-71.1111663037
98968,30782,26048,188,3273,7,734,160000,42.3539642802,-71.0813090848
101881,28912,25529,163,2736,23,756,160000,42.3539659,-71.0813033
80334,17311,55433,2244,3835,2,841,160000,42.3539873888,-71.1025494724
107725,32921,15740,116,2865,12,621,160000,42.3539915,-71.0812371
96223,28230,32038,195,2190,6,1118,160000,42.3540001702,-71.0811809271
24639,73047,57808,628,2512,435,931,160000,42.3540121875,-71.1167034043
93943,28393,34537,89,2249,2,787,160000,42.3540234,-71.081191
30175,63983,38479,14857,11228,260,1018,160000,42.3540259209,-71.1112656049
44069,40147,39854,20314,14546,16,1054,160000,42.3540284128,-71.1024241673
92762,29729,34566,83,1994,4,862,160000,42.3540607253,-71.0811370595
78201,20981,53360,1580,4998,0,880,160000,42.3540694367,-71.1022988622
42160,78981,34889,776,1586,585,1023,160000,42.3540763583,-71.1168094361
46689,41682,41933,17177,10685,188,1646,160000,42.3540818,-71.1113451
40499,44716,40070,20472,11737,284,2222,160000,42.3540957251,-71.1113649062
103476,12905,41547,205,1134,255,478,160000,42.3540985196,-71.0810990751
50149,41204,35430,21169,11513,21,514,160000,42.3541104606,-71.1021735569
104711,12477,40397,264,1352,156,643,160000,42.3541128,-71.0810816
105613,11760,40105,245,1505,178,594,160000,42.3541349,-71.0810402
44591,87973,24552,376,1312,144,1052,160000,42.3541366937,-71.1169511043
46002,86319,24662,354,1533,200,930,160000,42.3541405292,-71.116915468
74006,21642,57593,1015,4692,5,1047,160000,42.3541514846,-71.1020482516
