redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
35082,49964,64122,3858,4391,68,2515,160000,42.3833245672,-71.1378384905
20954,98686,36508,526,2284,787,255,160000,42.3975803,-71.1376646
15991,37428,102282,1287,2156,228,628,160000,42.3975842761,-71.1369079882
25611,101642,28472,350,2552,1101,272,160000,42.3975842827,-71.1376286305
15890,37520,102204,1547,1883,194,762,160000,42.3975853,-71.1369222
16072,94236,46282,500,2595,104,211,160000,42.3975940562,-71.1370588329
16107,94003,46148,533,2796,145,268,160000,42.3975941201,-71.1370444853
29043,99756,26471,349,3131,1022,228,160000,42.397594952,-71.1376038065
25611,101642,28472,350,2552,1101,272,160000,42.3975993,-71.137493
29043,99756,26471,349,3131,1022,228,160000,42.397600326,-71.1374668533
33311,95850,25375,196,3492,1536,240,160000,42.3976028124,-71.1371954659
31729,98186,25313,296,3313,939,224,160000,42.397604,-71.137214
29043,99756,26471,349,3131,1022,228,160000,42.3976057,-71.1373299
31729,98186,25313,296,3313,939,224,160000,42.3976060112,-71.1373511194
33311,95850,25375,196,3492,1536,240,160000,42.3976115686,-71.1373320989
26455,59117,66550,1793,3774,51,2260,160000,42.3714504841,-71.0937305742
26455,59117,66550,1793,3774,51,2260,160000,42.3714891873,-71.0938572592
26455,59117,66550,1793,3774,51,2260,160000,42.3715278905,-71.0939839443
26455,59117,66550,1793,3774,51,2260,160000,42.3715665936,-71.0941106295
26455,59117,66550,1793,3774,51,2260,160000,42.3716052968,-71.0942373147
159931,0,0,0,69,0,0,160000,42.371644,-71.094364
23904,52406,79490,560,2083,62,1495,160000,42.3714504841,-71.0937305742
23904,52406,79490,560,2083,62,1495,160000,42.3714891873,-71.0938572592
23904,52406,79490,560,2083,62,1495,160000,42.3715278905,-71.0939839443
23904,52406,79490,560,2083,62,1495,160000,42.3715665936,-71.0941106295
23904,52406,79490,560,2083,62,1495,160000,42.3716052968,-71.0942373147
159931,0,0,0,69,0,0,160000,42.371644,-71.094364
52813,52365,46684,1262,6099,8,769,160000,42.390378,-71.127643
42273,67137,44809,1308,3831,165,477,160000,42.3904792097,-71.1276378773
37939,54332,62955,856,3281,328,309,160000,42.3905804194,-71.1276327545
32000,47758,75996,616,3268,71,291,160000,42.3906816292,-71.1276276318
37566,56743,57786,1935,5099,29,842,160000,42.3907828389,-71.127622509
49067,59953,41049,2745,5858,96,1232,160000,42.3908840486,-71.1276173862
19179,75051,60119,924,4362,31,334,160000,42.3909852583,-71.1276122634
22117,57914,75746,359,2990,17,857,160000,42.3910864681,-71.1276071407
23496,56925,75634,310,2940,22,673,160000,42.391109,-71.127606
80468,34549,37687,1591,4824,127,754,160000,42.3911876778,-71.1276020179
81271,34201,37492,1166,4782,140,948,160000,42.3912102729,-71.1276043241
63955,60568,25505,2955,6905,36,76,160000,42.3913115457,-71.1276026482
43746,73609,37072,1681,3043,731,118,160000,42.3914128186,-71.1276009723
45371,61720,45437,2822,4151,42,457,160000,42.3915140914,-71.1275992964
45670,61946,44792,2514,4298,86,694,160000,42.391532,-71.127599
52038,55216,44793,1778,5726,140,309,160000,42.391569,-71.127598
50828,56582,45042,1576,5316,215,441,160000,42.3916153643,-71.1275976205
52510,55816,44615,1444,5127,150,338,160000,42.3916332602,-71.1275962632
47563,52229,55903,382,3348,211,364,160000,42.3916702538,-71.1275948543
50261,39382,66390,865,2713,59,330,160000,42.3917715075,-71.1275917085
53594,28251,73781,963,2306,138,967,160000,42.3918727613,-71.1275885628
64891,37321,51189,952,4476,17,1154,160000,42.3919740151,-71.1275854171
78305,29426,45024,1499,5255,29,462,160000,42.3920752688,-71.1275822713
80085,28358,44718,1340,5043,41,415,160000,42.392084,-71.127582
70738,24640,56463,2218,5322,40,579,160000,42.3921765226,-71.1275791256
70947,24971,56757,1891,4907,18,509,160000,42.3921851805,-71.1275759096
60144,56002,37195,1363,4871,57,368,160000,42.392286361,-71.1275698191
60309,42033,49322,2634,5078,137,487,160000,42.3923875415,-71.1275637287
54241,32795,64613,2281,5241,79,750,160000,42.3924887219,-71.1275576382
103529,31528,18739,1238,4495,154,317,160000,42.3925899024,-71.1275515477
70206,49303,25671,6256,8237,86,241,160000,42.392594557,-71.1275525322
28648,87020,38954,1608,2454,61,1255,160000,42.3926910829,-71.1275454572
44581,76437,29528,4169,3420,239,1626,160000,42.3926927047,-71.1275186882
15250,67025,70610,1221,3373,132,2389,160000,42.3927908523,-71.1274848441
20302,43647,85625,2868,4271,382,2905,160000,42.3928498264,-71.12751525
42731,33453,75435,1943,4660,345,1433,160000,42.392889,-71.127451
39194,41957,70050,1558,5559,297,1385,160000,42.3929143167,-71.1274095084
35350,39691,76500,2392,4876,91,1100,160000,42.3929788069,-71.1273037666
44267,42308,66386,1587,4434,395,623,160000,42.3930432972,-71.1271980247
36268,57998,57147,2854,4875,135,723,160000,42.3931077875,-71.1270922827
40796,47213,64349,2083,4224,536,799,160000,42.3931722778,-71.1269865406
47418,26847,79558,1324,3030,862,961,160000,42.3932367681,-71.1268807984
52098,34821,65234,1762,4566,939,580,160000,42.3933012583,-71.1267750561
41563,48430,62596,2022,4228,191,970,160000,42.3933657486,-71.1266693137
54248,52645,46211,2441,3544,500,411,160000,42.3934302389,-71.1265635712
72057,46465,27651,4934,7178,111,1604,160000,42.3934947292,-71.1264578286
67535,35025,46741,2692,6200,7,1800,160000,42.3935592194,-71.1263520858
63145,23754,63308,2467,5626,63,1637,160000,42.3936237097,-71.126246343
