redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
33796,76242,44715,940,2852,1299,156,160000,42.3888324857,-71.1573638555
32527,79479,44531,322,2834,126,181,160000,42.3889329714,-71.1573467111
34655,78830,43413,350,2448,124,180,160000,42.388943,-71.157345
12578,89261,54286,538,3164,51,122,160000,42.3890334572,-71.1573295666
12502,89610,54536,420,2767,37,128,160000,42.389041866,-71.1573152367
18884,86140,50769,378,3590,158,81,160000,42.389140732,-71.1572854734
8084,97794,51535,431,1985,30,141,160000,42.389239598,-71.15725571
19105,85382,49850,503,4915,57,188,160000,42.389338464,-71.1572259466
2796,103854,51018,412,1749,41,130,160000,42.3894373299,-71.1571961831
7470,102510,47930,118,1872,19,81,160000,42.3895361959,-71.1571664196
12636,94509,49380,219,3124,80,52,160000,42.38961,-71.1571442
12753,94569,49131,252,3164,42,89,160000,42.3896350619,-71.1571366561
4672,102092,51376,178,1422,151,109,160000,42.3897099385,-71.1571219515
4672,102092,51376,178,1422,151,109,160000,42.389809877,-71.1570997031
29396,84913,41394,441,3582,108,166,160000,42.3899098155,-71.1570774545
29079,84236,42133,429,3846,116,161,160000,42.3899433,-71.15707
21440,86077,47098,722,4177,402,84,160000,42.390009754,-71.157055206
21150,85814,47629,722,4343,240,102,160000,42.3900429462,-71.1570454651
21174,81246,52652,324,4244,236,124,160000,42.3900822,-71.1570358
22952,80910,51501,472,3771,258,136,160000,42.3901425923,-71.1570209302
10340,92349,54927,155,1991,25,213,160000,42.3901833569,-71.157029029
10259,92377,54873,129,2124,19,219,160000,42.3902062,-71.1570275
17717,83326,54494,275,3930,127,131,160000,42.3902845138,-71.157022258
17855,83434,54739,282,3545,72,73,160000,42.3903023,-71.157035
18355,83395,54112,218,3714,103,103,160000,42.3903073126,-71.1570353912
30365,64202,58706,334,6065,197,131,160000,42.3904023739,-71.1570561034
30567,62512,59236,251,7139,191,104,160000,42.3904071,-71.1570571
7050,95390,55241,330,1598,37,354,160000,42.3904883,-71.1570797
8357,95898,52914,395,2031,73,332,160000,42.3905024479,-71.1570772068
7880,95409,53872,625,1841,41,332,160000,42.3905063061,-71.1570847116
33895,57133,63798,1470,2617,126,961,160000,42.3905857044,-71.1571172736
