redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
52675, 32373, 69567, 810, 2468, 233, 1874, 160000, 40.7196739885, -74.0022752991
31021, 65068, 49041, 2467, 5928, 12, 6463, 160000, 40.7197429856, -74.0023731241
49057, 50350, 43439, 1702, 5105, 11, 10336, 160000, 40.7198119828, -74.0024709492
64679, 55176, 27810, 1740, 5637, 72, 4886, 160000, 40.7198809799, -74.0025687745
65013, 57554, 24976, 1606, 3779, 81, 6991, 160000, 40.719949977, -74.0026665998
69161, 54955, 27298, 1724, 2884, 68, 3910, 160000, 40.7199727194, -74.0026969297
65459, 58773, 26097, 1861, 4339, 94, 3377, 160000, 40.7200424389, -74.0027938595
64861, 57696, 25339, 2962, 6237, 71, 2834, 160000, 40.7201121583, -74.0028907894
54694, 57673, 34847, 2392, 7323, 67, 3004, 160000, 40.7201818778, -74.0029877195
64677, 36408, 53984, 757, 2470, 387, 1317, 160000, 40.7202515972, -74.0030846496
50733, 66954, 37342, 635, 3128, 518, 690, 160000, 40.7203213167, -74.0031815798
39529, 94221, 18176, 1155, 3119, 50, 3750, 160000, 40.7203910361, -74.0032785101
22645, 57018, 66091, 664, 10360, 420, 2802, 160000, 40.7204463181, -74.0033564302
22645, 57018, 66091, 664, 10360, 420, 2802, 160000, 40.7205156362, -74.0034538605
47826, 71476, 25844, 5448, 4340, 3, 5063, 160000, 40.7205849543, -74.0035512909
48281, 71636, 25408, 5003, 4435, 5, 5232, 160000, 40.7206263581, -74.003609381
66552, 59678, 25016, 1274, 3127, 6, 4347, 160000, 40.7206957161, -74.0037067621
76668, 46796, 25105, 1822, 4839, 8, 4762, 160000, 40.7207650742, -74.0038041433
79763, 38516, 30062, 1080, 4162, 6, 6411, 160000, 40.7208344322, -74.0039015245
53179, 58178, 36185, 1788, 4842, 12, 5816, 160000, 40.7209037903, -74.0039989059
53759, 56940, 35730, 2356, 4969, 13, 6233, 160000, 40.7209231625, -74.0040266232
53900, 55048, 36716, 3642, 6332, 27, 4335, 160000, 40.7209683479, -74.0040904413
57122, 58821, 29774, 1867, 4425, 43, 7948, 160000, 40.7210374959, -74.0041880826
66340, 47824, 33661, 1053, 5652, 23, 5447, 160000, 40.7211066438, -74.0042857241
57891, 50821, 36642, 2894, 6932, 77, 4743, 160000, 40.7211757918, -74.0043833657
45538, 48813, 49664, 3958, 8435, 68, 3524, 160000, 40.7212449397, -74.0044810073
40674, 52775, 47384, 4206, 6402, 50, 8509, 160000, 40.7213140877, -74.0045786491
38635, 66038, 39951, 3091, 5972, 45, 6268, 160000, 40.7213675532, -74.0046541354
35582, 77249, 28543, 5452, 9340, 14, 3820, 160000, 40.7214186193, -74.0047379009
48616, 63267, 35288, 2345, 3739, 50, 6695, 160000, 40.7214819026, -74.0048387193
29826, 74987, 39035, 1703, 6382, 38, 8029, 160000, 40.7215465051, -74.0049416386
37582, 75106, 30190, 1306, 8443, 1, 7372, 160000, 40.7216111077, -74.0050445581
33210, 73600, 35149, 2289, 7428, 11, 8313, 160000, 40.7216757102, -74.0051474776
30042, 82187, 28043, 5707, 5030, 10, 8981, 160000, 40.7217403128, -74.0052503973
30042, 82187, 28043, 5707, 5030, 10, 8981, 160000, 40.7217611025, -74.0052835197
28649, 83710, 29190, 5519, 5625, 7, 7300, 160000, 40.7217663, -74.0052918
18603, 113405, 19787, 1337, 4404, 4, 2460, 160000, 40.721825705, -74.0053864396
17241, 110100, 23667, 1329, 4655, 10, 2998, 160000, 40.7218390942, -74.0053847139
29013, 73739, 42156, 3236, 6029, 51, 5776, 160000, 40.7219118885, -74.005477628
29041, 73735, 42058, 3235, 6081, 51, 5799, 160000, 40.7219349, -74.005507
28788, 67041, 47720, 2976, 5899, 1, 7575, 160000, 40.7219846827, -74.0055705421
28756, 67151, 47656, 2975, 5890, 1, 7571, 160000, 40.7220076963, -74.0055999114
28756, 67151, 47656, 2975, 5890, 1, 7571, 160000, 40.7220804925, -74.0056928229
26148, 64523, 48563, 3202, 6387, 26, 11151, 160000, 40.7221532888, -74.0057857346
29911, 58148, 50457, 2302, 6050, 29, 13103, 160000, 40.7222260851, -74.0058786463
29911, 58148, 50457, 2302, 6050, 29, 13103, 160000, 40.7222988813, -74.0059715581
28776, 60090, 49835, 2054, 5463, 30, 13752, 160000, 40.7223255204, -74.0060062867
44250, 50313, 45888, 2538, 6952, 17, 10042, 160000, 40.7223980407, -74.0060995736
37169, 48349, 51717, 4695, 4699, 32, 13339, 160000, 40.7224705611, -74.0061928605
37417, 59955, 43525, 5989, 4372, 3, 8739, 160000, 40.7225430814, -74.0062861476
38599, 57034, 45118, 6275, 11759, 40, 1175, 160000, 40.7225631, -74.0063119
36462, 57999, 46904, 4942, 12540, 34, 1119, 160000, 40.7226156018, -74.0063794347
38599, 57034, 45118, 6275, 11759, 40, 1175, 160000, 40.7226322951, -74.0064094855
66456, 38356, 42390, 4329, 3891, 20, 4558, 160000, 40.7227014903, -74.006507071
75853, 38916, 34139, 1860, 5805, 6, 3421, 160000, 40.7227706854, -74.0066046567
77302, 39561, 30744, 2287, 7383, 2, 2721, 160000, 40.7228398806, -74.0067022425
86131, 36308, 18865, 3300, 11666, 7, 3723, 160000, 40.7229090757, -74.0067998284
74040, 45195, 21794, 2302, 13818, 0, 2851, 160000, 40.7229782709, -74.0068974143
89219, 31823, 19802, 5324, 11106, 3, 2723, 160000, 40.723047466, -74.0069950004
85670, 38210, 20518, 3049, 10568, 1, 1984, 160000, 40.7231166612, -74.0070925866
79493, 45028, 17668, 3722, 12001, 0, 2088, 160000, 40.7231858563, -74.0071901729
68921, 60136, 13410, 2151, 13118, 3, 2261, 160000, 40.7232550515, -74.0072877592
66989, 65179, 12345, 1455, 11309, 3, 2720, 160000, 40.7233242466, -74.0073853457
65485, 55312, 19566, 3535, 14606, 0, 1496, 160000, 40.7233934418, -74.0074829323
31324, 118690, 129, 109, 9742, 0, 6, 160000, 40.7234626369, -74.007580519
26131, 118812, 26, 7, 14906, 0, 118, 160000, 40.7235318321, -74.0076781058
27371, 123654, 107, 22, 8715, 2, 129, 160000, 40.7235666212, -74.0077260578
58717, 65772, 15668, 7089, 12516, 20, 218, 160000, 40.7236362424, -74.0078231157
50986, 18566, 82811, 857, 5559, 64, 1157, 160000, 40.7237058636, -74.0079201738
74062, 70135, 5260, 354, 9956, 16, 217, 160000, 40.7573175, -73.993266
33716, 54804, 58482, 3492, 6894, 52, 2560, 160000, 40.7573687925, -73.9956822547
40756, 39584, 63352, 987, 10952, 61, 4308, 160000, 40.7573738348, -73.9957665736
37402, 42322, 60114, 10267, 8149, 41, 1705, 160000, 40.7573773, -73.9956039931
45773, 41871, 49284, 12594, 9232, 48, 1198, 160000, 40.7573773, -73.995676
38007, 43143, 58975, 7604, 7531, 59, 4681, 160000, 40.7573773, -73.9957377
38709, 43069, 51655, 13670, 10134, 63, 2700, 160000, 40.7573853, -73.9956128
148241, 10099, 66, 10, 1576, 1, 7, 160000, 40.7573855679, -73.9958222082
