hue0,hue1,hue2,hue3,hue4,hue5,total,lat,lng
109032,138727,46407,84735,11606,19093,409600,40.7359034601,-74.0032832287
138505,64435,40238,108102,20080,38240,409600,40.7359034601,-74.0032832287
196772,60282,39016,93137,9157,11236,409600,40.7359034651,-74.004359043
106067,95633,92279,93912,10131,11578,409600,40.7359034651,-74.004359043
106145,88083,51964,144944,9695,8769,409600,40.7359034651,-74.004359043
88160,89280,93053,114972,14822,9313,409600,40.7359034651,-74.004359043
109664,187073,39477,59024,5452,8910,409600,40.7359034701,-74.0054348573
158821,38445,46858,150016,7404,8056,409600,40.7359034701,-74.0054348573
185470,102283,7279,105105,3508,5955,409600,40.7359034701,-74.0054348573
87009,107643,50912,119678,28134,16224,409600,40.7359034701,-74.0054348573
87638,180891,28838,90725,11517,9991,409600,40.7359034751,-74.0065106715
85458,119581,65646,127888,6092,4935,409600,40.7359034751,-74.0065106715
128672,84618,14810,170613,5053,5834,409600,40.7359034751,-74.0065106715
78377,124502,54488,114063,23995,14175,409600,40.7359034751,-74.0065106715
82374,178648,47901,88921,7919,3837,409600,40.735903485,-74.0086623001
65820,206149,66756,64855,4148,1872,409600,40.735903485,-74.0086623001
80061,242867,42216,41499,1657,1300,409600,40.735903485,-74.0086623001
96645,145298,94862,68519,1604,2672,409600,40.735903485,-74.0086623001
169969,61726,39891,112025,11893,14096,409600,40.73590348,-74.0075864858
179192,63360,25036,104234,15475,22303,409600,40.73590348,-74.0075864858
157007,93447,21756,125388,6116,5886,409600,40.73590348,-74.0075864858
132092,74241,54074,100357,25720,23116,409600,40.73590348,-74.0075864858
160464,123375,43460,77026,3193,2082,409600,40.73590349,-74.0097381144
174243,123933,48017,51632,6184,5591,409600,40.73590349,-74.0097381144
89941,80069,37510,196215,3511,2354,409600,40.73590349,-74.0097381144
122291,171462,38484,48522,16109,12732,409600,40.73590349,-74.0097381144
118041,100014,9463,178753,1288,2041,409600,40.7365158452,-73.9742358571
150035,40236,3185,211494,1825,2825,409600,40.7365158452,-73.9742358571
143193,73382,4640,182663,1873,3849,409600,40.7365158452,-73.9742358571
187066,77950,13095,127171,1857,2461,409600,40.7365158452,-73.9742358571
105434,65516,45388,155991,26101,11170,409600,40.7365158502,-73.9753116813
146137,51878,54499,131293,18508,7285,409600,40.7365158502,-73.9753116813
105548,100978,46011,123347,23884,9832,409600,40.7365158502,-73.9753116813
108138,78132,53790,142816,22322,4402,409600,40.7365158502,-73.9753116813
137200,62732,47272,153105,4832,4459,409600,40.7365158552,-73.9763875054
124506,43758,56804,166528,9969,8035,409600,40.7365158552,-73.9763875054
164743,45992,16259,150254,20653,11699,409600,40.7365158552,-73.9763875054
128736,59484,52561,141760,13034,14025,409600,40.7365158552,-73.9763875054
121196,162810,55088,62563,3369,4574,409600,40.7365158602,-73.9774633296
83966,201970,24326,67896,21836,9606,409600,40.7365158602,-73.9774633296
65320,182397,41153,106427,9916,4387,409600,40.7365158602,-73.9774633296
149671,106548,25922,110975,11242,5242,409600,40.7365158602,-73.9774633296
35275,40187,138678,168782,1868,24810,409600,40.7365158652,-73.9785391538
40175,65103,134066,166814,1260,2182,409600,40.7365158652,-73.9785391538
94498,19984,76049,91151,1001,126917,409600,40.7365158652,-73.9785391538
98345,62871,72025,172949,2122,1288,409600,40.7365158652,-73.9785391538
109026,227938,42308,22953,1050,6325,409600,40.7365158702,-73.979614978
45088,187993,85565,72437,10325,8192,409600,40.7365158702,-73.979614978
74719,130231,72312,94363,27595,10380,409600,40.7365158702,-73.979614978
91149,187792,66437,52742,1444,10036,409600,40.7365158702,-73.979614978
165022,149395,45155,47617,1278,1133,409600,40.7365158752,-73.9806908021
52622,164580,68529,115660,4442,3767,409600,40.7365158752,-73.9806908021
92751,111896,60306,129356,8122,7169,409600,40.7365158752,-73.9806908021
118528,164653,48951,72060,2686,2722,409600,40.7365158752,-73.9806908021
133868,59494,65274,144422,3345,3197,409600,40.7365158802,-73.9817666263
69011,89961,69667,163277,11982,5702,409600,40.7365158802,-73.9817666263
87534,59597,83129,172495,3133,3712,409600,40.7365158802,-73.9817666263
158804,73624,53442,82590,22775,18365,409600,40.7365158802,-73.9817666263
180904,126304,47844,49055,3597,1896,409600,40.7365158852,-73.9828424505
209478,75219,41706,63860,6072,13265,409600,40.7365158852,-73.9828424505
180150,96601,31170,84366,5845,11468,409600,40.7365158852,-73.9828424505
52654,254659,51332,47780,1267,1908,409600,40.7365158852,-73.9828424505
189307,59721,18338,123636,3593,15005,409600,40.7365158902,-73.9839182747
104097,56254,48399,142908,32957,24985,409600,40.7365158902,-73.9839182747
120122,72904,21219,154243,18964,22148,409600,40.7365158902,-73.9839182747
116315,61012,20623,201886,5558,4206,409600,40.7365158902,-73.9839182747
143244,74561,8173,179746,1941,1935,409600,40.7365158952,-73.9849940988
116111,122249,47617,114108,2849,6666,409600,40.7365158952,-73.9849940988
167269,109269,11078,117424,1820,2740,409600,40.7365158952,-73.9849940988
150727,29105,32824,187692,5461,3791,409600,40.7365158952,-73.9849940988
90769,116140,17860,148298,21678,14855,409600,40.7365159002,-73.986069923
51987,76668,93949,113516,31677,41803,409600,40.7365159002,-73.986069923
18268,144949,59897,116284,47425,22777,409600,40.7365159002,-73.986069923
53765,84851,35384,141840,59184,34576,409600,40.7365159002,-73.986069923
148095,31452,67158,143970,7876,11049,409600,40.7365159052,-73.9871457472
169170,61816,21547,134142,13277,9648,409600,40.7365159052,-73.9871457472
207535,26930,19740,133544,13232,8619,409600,40.7365159052,-73.9871457472
106413,21568,16279,231153,16818,17369,409600,40.7365159052,-73.9871457472
151877,104963,67465,76590,4941,3764,409600,40.7365159101,-73.9882215714
168828,37728,38071,150429,8883,5661,409600,40.7365159101,-73.9882215714
172109,50112,30412,143764,7118,6085,409600,40.7365159101,-73.9882215714
101820,142722,28568,125382,6341,4767,409600,40.7365159101,-73.9882215714
182434,76776,46474,92799,5942,5175,409600,40.7365159151,-73.9892973956
100666,91136,34745,171260,4607,7186,409600,40.7365159151,-73.9892973956
125355,105777,39496,135751,1543,1678,409600,40.7365159151,-73.9892973956
142584,125379,26743,103212,5883,5799,409600,40.7365159151,-73.9892973956
147239,102787,31938,118904,4586,4146,409600,40.7365159201,-73.9903732197
82300,166517,34896,118031,5673,2183,409600,40.7365159201,-73.9903732197
158695,73250,41449,121702,5248,9256,409600,40.7365159201,-73.9903732197
82060,153415,41167,111126,18001,3831,409600,40.7365159201,-73.9903732197
143424,73933,34705,130932,11435,15171,409600,40.7365159251,-73.9914490439
156756,53474,37056,151725,6819,3770,409600,40.7365159251,-73.9914490439
134558,44121,26841,178269,12807,13004,409600,40.7365159251,-73.9914490439
135359,62058,27327,179946,2689,2221,409600,40.7365159251,-73.9914490439
48357,106495,52414,176443,11165,14726,409600,40.7365159301,-73.9925248681
158435,34004,44982,151051,8184,12944,409600,40.7365159301,-73.9925248681
91633,68902,60595,178761,5230,4479,409600,40.7365159301,-73.9925248681
81708,106273,22722,185374,5947,7576,409600,40.7365159301,-73.9925248681
134836,59271,37156,160525,10766,7046,409600,40.7365159351,-73.9936006923
160754,51891,29141,140904,9099,17811,409600,40.7365159351,-73.9936006923
128686,73077,38776,158308,4765,5988,409600,40.7365159351,-73.9936006923
207533,73943,42047,74161,8220,3696,409600,40.7365159351,-73.9936006923
114611,141461,35611,104068,6974,6875,409600,40.7365159401,-73.9946765164
171680,65066,19151,142109,5873,5721,409600,40.7365159401,-73.9946765164
71389,128664,26347,164188,12122,6890,409600,40.7365159401,-73.9946765164
156918,133322,19385,93498,3331,3146,409600,40.7365159401,-73.9946765164
173480,47306,41643,141073,2956,3142,409600,40.7365159451,-73.9957523406
130605,74176,24795,176144,1919,1961,409600,40.7365159451,-73.9957523406
123325,50651,37019,187873,6371,4361,409600,40.7365159451,-73.9957523406
120355,48189,35568,196953,5087,3448,409600,40.7365159451,-73.9957523406
175912,100248,63671,34490,30425,4854,409600,40.7365159501,-73.9968281648
181540,101086,41878,64731,9284,11081,409600,40.7365159501,-73.9968281648
165845,93956,35801,104894,4400,4704,409600,40.7365159501,-73.9968281648
202493,56488,35246,64633,17994,32746,409600,40.7365159501,-73.9968281648
44827,121536,74899,158074,3149,7115,409600,40.7365159551,-73.997903989
82239,139446,108958,59702,13084,6171,409600,40.7365159551,-73.997903989
35736,168909,132594,70404,1425,532,409600,40.7365159551,-73.997903989
66973,111549,69879,147608,6431,7160,409600,40.7365159551,-73.997903989
151319,195720,38919,14379,4164,5099,409600,40.7365159601,-73.9989798131
54505,173976,103258,69332,4343,4186,409600,40.7365159601,-73.9989798131
101154,178857,68328,49862,7668,3731,409600,40.7365159601,-73.9989798131
75173,183882,99023,48198,1733,1591,409600,40.7365159601,-73.9989798131
216894,53941,30763,95257,7085,5660,409600,40.7365159651,-74.0000556373
192558,82956,46484,76385,6342,4875,409600,40.7365159651,-74.0000556373
120811,141344,46144,72662,10385,18254,409600,40.7365159651,-74.0000556373
156254,87047,52275,110248,1052,2724,409600,40.7365159651,-74.0000556373
178675,63056,8741,150717,3857,4554,409600,40.7365159701,-74.0011314615
119627,62137,23675,191418,5758,6985,409600,40.7365159701,-74.0011314615
178054,62667,10941,151464,3098,3376,409600,40.7365159701,-74.0011314615
147773,118531,18209,116478,4254,4355,409600,40.7365159701,-74.0011314615
93836,137952,36647,98885,21815,20465,409600,40.7365159751,-74.0022072857
134771,190591,25535,47988,4240,6475,409600,40.7365159751,-74.0022072857
40641,160439,44532,137777,17771,8440,409600,40.7365159751,-74.0022072857
44045,199842,29305,126244,6280,3884,409600,40.7365159751,-74.0022072857
97987,137953,65085,93220,7282,8073,409600,40.7365159801,-74.0032831099
134608,129475,31227,104881,3855,5554,409600,40.7365159801,-74.0032831099
170600,136287,44430,48319,4604,5360,409600,40.7365159801,-74.0032831099
119437,183704,51582,49684,2639,2554,409600,40.7365159801,-74.0032831099
80165,144466,37915,111161,18305,17588,409600,40.7365159851,-74.004358934
179236,46662,38728,98778,12442,33754,409600,40.7365159851,-74.004358934
61685,130770,30761,125199,33466,27719,409600,40.7365159851,-74.004358934
60138,121060,32937,129428,19616,46421,409600,40.7365159851,-74.004358934
127324,100771,82675,83633,8212,6985,409600,40.7365159901,-74.0054347582
50416,145138,105653,76256,19159,12978,409600,40.7365159901,-74.0054347582
79541,161503,122136,26678,8749,10993,409600,40.7365159901,-74.0054347582
89644,90720,121924,98080,5395,3837,409600,40.7365159901,-74.0054347582
62315,201604,56808,77043,4887,6943,409600,40.736515995,-74.0065105824
194108,46165,48805,89415,2874,28233,409600,40.736515995,-74.0065105824
138445,80770,37064,141739,4388,7194,409600,40.736515995,-74.0065105824
137802,88982,55198,109566,5234,12818,409600,40.736515995,-74.0065105824
158635,140037,38431,67811,3088,1598,409600,40.736516005,-74.0086622308
105636,145095,55980,96448,2581,3860,409600,40.736516005,-74.0086622308
190865,50028,72329,92958,1538,1882,409600,40.736516005,-74.0086622308
118692,190307,67882,28922,434,3363,409600,40.736516005,-74.0086622308
164001,24249,16679,199823,2686,2162,409600,40.73651601,-74.0097380549
149504,14298,16716,219289,5879,3914,409600,40.73651601,-74.0097380549
180976,24360,4575,187785,5640,6264,409600,40.73651601,-74.0097380549
138663,32375,25589,206657,3144,3172,409600,40.73651601,-74.0097380549
120458,95490,44530,94746,12768,41608,409600,40.736516,-74.0075864066
176225,52802,38738,116044,7199,18592,409600,40.736516,-74.0075864066
96032,94615,42130,144023,9185,23615,409600,40.736516,-74.0075864066
47367,106318,48080,135065,49590,23180,409600,40.736516,-74.0075864066
144979,80763,11069,169101,2067,1621,409600,40.7371283652,-73.9742354708
217011,57888,5482,125190,1701,2328,409600,40.7371283652,-73.9742354708
175603,40583,3263,184947,1850,3354,409600,40.7371283652,-73.9742354708
237382,55339,18154,89574,3498,5653,409600,40.7371283652,-73.9742354708
133544,48872,74415,150762,742,1265,409600,40.7371283702,-73.9753113049
28723,69063,77686,210412,18247,5469,409600,40.7371283702,-73.9753113049
68477,40765,38012,258371,1686,2289,409600,40.7371283702,-73.9753113049
102253,64615,63216,171940,4178,3398,409600,40.7371283702,-73.9753113049
146806,30245,17153,206111,2645,6640,409600,40.7371283752,-73.9763871389
165588,33627,20174,178001,7461,4749,409600,40.7371283752,-73.9763871389
155679,22729,10767,215685,2614,2126,409600,40.7371283752,-73.9763871389
114962,36570,18260,230892,4607,4309,409600,40.7371283752,-73.9763871389
140258,46130,28783,188715,3488,2226,409600,40.7371283852,-73.9785388071
153789,51925,72674,119785,4855,6572,409600,40.7371283852,-73.9785388071
111406,55666,73566,150066,10941,7955,409600,40.7371283852,-73.9785388071
196726,34705,42221,125963,3062,6923,409600,40.7371283852,-73.9785388071
147548,94432,30099,134363,1662,1496,409600,40.7371283902,-73.9796146412
93374,74398,67964,157816,2642,13406,409600,40.7371283902,-73.9796146412
70179,54217,104656,172917,4223,3408,409600,40.7371283902,-73.9796146412
107736,68943,18271,205665,7508,1477,409600,40.7371283902,-73.9796146412
154131,137900,71474,43841,1197,1057,409600,40.7371283952,-73.9806904753
175558,99133,78722,52537,1222,2428,409600,40.7371283952,-73.9806904753
150029,82955,78014,92036,4160,2406,409600,40.7371283952,-73.9806904753
104664,106849,83003,111981,2155,948,409600,40.7371283952,-73.9806904753
186686,58044,50815,83560,19144,11351,409600,40.7371284002,-73.9817663093
70379,206541,66345,63079,1847,1409,409600,40.7371284002,-73.9817663093
82950,192709,41251,78067,9559,5064,409600,40.7371284002,-73.9817663093
128415,120345,50509,104096,3193,3042,409600,40.7371284002,-73.9817663093
171575,40601,68930,118111,4348,6035,409600,40.7371284052,-73.9828421434
192570,20496,30150,149675,7844,8865,409600,40.7371284052,-73.9828421434
159396,36413,19753,182687,5104,6247,409600,40.7371284052,-73.9828421434
144215,35230,46024,171455,5701,6975,409600,40.7371284052,-73.9828421434
101479,76505,63364,150596,9478,8178,409600,40.7371284102,-73.9839179775
198058,69280,51986,74084,7105,9087,409600,40.7371284102,-73.9839179775
176497,41812,28742,155713,2767,4069,409600,40.7371284102,-73.9839179775
109194,55205,52591,178208,8015,6387,409600,40.7371284102,-73.9839179775
194607,31047,33140,128399,8586,13821,409600,40.7371284152,-73.9849938116
74718,158551,21313,125710,15491,13817,409600,40.7371284152,-73.9849938116
53786,163743,24952,128100,22230,16789,409600,40.7371284152,-73.9849938116
111271,78782,18398,167993,17023,16133,409600,40.7371284152,-73.9849938116
103860,71409,99710,122426,5013,7182,409600,40.7371284202,-73.9860696457
142303,78700,14691,167293,4817,1796,409600,40.7371284202,-73.9860696457
131047,50789,176661,45583,2792,2728,409600,40.7371284202,-73.9860696457
214993,89434,25996,60138,8066,10973,409600,40.7371284202,-73.9860696457
134434,124332,36802,85759,9904,18369,409600,40.7371284251,-73.9871454798
69322,136139,52017,99825,25144,27153,409600,40.7371284251,-73.9871454798
169026,106108,42273,85156,2901,4136,409600,40.7371284251,-73.9871454798
100368,121975,36444,54287,39308,57218,409600,40.7371284251,-73.9871454798
163831,96166,34467,99305,4601,11230,409600,40.7371284301,-73.9882213138
166376,84641,27316,99571,13886,17810,409600,40.7371284301,-73.9882213138
139525,46239,20122,178554,5701,19459,409600,40.7371284301,-73.9882213138
157123,70063,21098,143383,8655,9278,409600,40.7371284301,-73.9882213138
124005,48922,34383,183020,8947,10323,409600,40.7371284351,-73.9892971479
206974,57797,42838,94045,3530,4416,409600,40.7371284351,-73.9892971479
162890,49458,29679,154322,6599,6652,409600,40.7371284351,-73.9892971479
142197,55002,26613,174063,6567,5158,409600,40.7371284351,-73.9892971479
150040,26919,13277,215710,1638,2016,409600,40.7371284401,-73.990372982
66148,90524,42566,201920,4025,4417,409600,40.7371284401,-73.990372982
138732,61554,38604,162866,3728,4116,409600,40.7371284401,-73.990372982
144052,52511,11224,192628,3253,5932,409600,40.7371284401,-73.990372982
107854,69268,54038,158031,11031,9378,409600,40.7371284451,-73.9914488161
152875,29762,20644,189869,10643,5807,409600,40.7371284451,-73.9914488161
93389,21973,23616,228090,22365,20167,409600,40.7371284451,-73.9914488161
109580,84983,31131,168499,9327,6080,409600,40.7371284451,-73.9914488161
156848,77236,43492,120141,5324,6559,409600,40.7371284501,-73.9925246502
193700,35964,21336,124113,17594,16893,409600,40.7371284501,-73.9925246502
124070,36793,23244,180849,22168,22476,409600,40.7371284501,-73.9925246502
179022,58096,20373,142002,4078,6029,409600,40.7371284501,-73.9925246502
149770,78823,37015,106311,25013,12668,409600,40.7371284551,-73.9936004842
185724,43794,33918,138801,4003,3360,409600,40.7371284551,-73.9936004842
111476,81831,63040,133727,11602,7924,409600,40.7371284551,-73.9936004842
183850,29981,10557,158782,14857,11573,409600,40.7371284551,-73.9936004842
68880,129296,37528,145728,18640,9528,409600,40.7371284601,-73.9946763183
96684,105807,66105,97142,22547,21315,409600,40.7371284601,-73.9946763183
78594,138109,59553,104559,19913,8872,409600,40.7371284601,-73.9946763183
54141,174915,34081,107553,21160,17750,409600,40.7371284601,-73.9946763183
132592,93605,67614,101649,6015,8125,409600,40.7371284651,-73.9957521524
137820,103836,38544,124326,1294,3780,409600,40.7371284651,-73.9957521524
103242,100353,51280,137842,3071,13812,409600,40.7371284651,-73.9957521524
113106,45595,38766,203799,3340,4994,409600,40.7371284651,-73.9957521524
76348,29816,26360,267047,4249,5780,409600,40.7371284701,-73.9968279865
161960,26244,25978,182411,4551,8456,409600,40.7371284701,-73.9968279865
186164,39656,26769,147205,3559,6247,409600,40.7371284701,-73.9968279865
132869,56437,38257,174446,3398,4193,409600,40.7371284701,-73.9968279865
118906,165985,64196,45696,2418,12399,409600,40.7371284751,-73.9979038206
110009,208170,45871,33910,5808,5832,409600,40.7371284751,-73.9979038206
121822,174880,45921,61249,2434,3294,409600,40.7371284751,-73.9979038206
147109,114501,43487,93350,4307,6846,409600,40.7371284751,-73.9979038206
84337,174544,47033,91381,2974,9331,409600,40.7371284801,-73.9989796547
142557,147397,53465,44917,6736,14528,409600,40.7371284801,-73.9989796547
55370,194409,59488,94100,3093,3140,409600,40.7371284801,-73.9989796547
127709,150367,22768,84658,9292,14806,409600,40.7371284801,-73.9989796547
176087,118345,85533,11145,1048,17442,409600,40.7371284851,-74.0000554887
230458,73084,58591,45653,705,1109,409600,40.7371284851,-74.0000554887
190328,85167,100027,28161,2618,3299,409600,40.7371284851,-74.0000554887
98486,104096,129455,74826,977,1760,409600,40.7371284851,-74.0000554887
104862,30004,37950,225925,6379,4480,409600,40.7371284901,-74.0011313228
110378,51101,59389,180242,4933,3557,409600,40.7371284901,-74.0011313228
180236,58469,53902,109231,3620,4142,409600,40.7371284901,-74.0011313228
112185,40525,38502,201925,8030,8433,409600,40.7371284901,-74.0011313228
113514,139692,46717,70227,7768,31682,409600,40.7371284951,-74.0022071569
68151,116179,70667,118002,14699,21902,409600,40.7371284951,-74.0022071569
99100,102588,70839,110337,13878,12858,409600,40.7371284951,-74.0022071569
110318,96519,54215,128552,5206,14790,409600,40.7371284951,-74.0022071569
40690,124680,79024,127801,20258,17147,409600,40.7371285001,-74.003282991
39216,171079,46036,119121,21162,12986,409600,40.7371285001,-74.003282991
50672,127091,35108,143772,28054,24903,409600,40.7371285001,-74.003282991
75306,119084,29820,124224,35217,25949,409600,40.7371285001,-74.003282991
143033,67686,53942,111757,11623,21559,409600,40.7371285051,-74.0043588251
85976,81860,57537,129692,13983,40552,409600,40.7371285051,-74.0043588251
57206,104428,67651,156950,12470,10895,409600,40.7371285051,-74.0043588251
49472,110423,63107,150680,18208,17710,409600,40.7371285051,-74.0043588251
59419,205796,97696,42594,1597,2498,409600,40.7371285101,-74.0054346592
139249,174292,47523,43087,2606,2843,409600,40.7371285101,-74.0054346592
38618,199164,122624,41419,5377,2398,409600,40.7371285101,-74.0054346592
153192,129648,85154,38629,1258,1719,409600,40.7371285101,-74.0054346592
90751,123792,141370,46488,2132,5067,409600,40.737128515,-74.0065104932
99369,142068,72537,88991,2658,3977,409600,40.737128515,-74.0065104932
161349,92285,124489,23294,3479,4704,409600,40.737128515,-74.0065104932
218215,111040,33111,44870,1165,1199,409600,40.737128515,-74.0065104932
210801,27591,24378,136166,7362,3302,409600,40.737128525,-74.0086621614
154099,157623,45612,47702,2675,1889,409600,40.737128525,-74.0086621614
112218,85664,30263,173314,4588,3553,409600,40.737128525,-74.0086621614
111021,106154,30016,153422,5684,3303,409600,40.737128525,-74.0086621614
145941,68594,47863,140170,3488,3544,409600,40.73712852,-74.0075863273
93665,16506,48107,201438,17126,32758,409600,40.73712852,-74.0075863273
106528,38355,28173,223018,5072,8454,409600,40.73712852,-74.0075863273
73394,88357,65485,167838,7918,6608,409600,40.73712852,-74.0075863273
