lat,lng,huegroup
42.3618023798,-71.1006668367,"[4207, 1853, 2552, 4637, 5777, 4193, 5722, 2957, 3318, 468, 5544, 3964, 3229, 2405, 2288, 1084, 2160, 767, 865, 371, 889, 824, 1392, 1025, 1839, 5095, 5273, 3807, 5467, 1995, 5771, 4541, 5637, 6344, 20292, 19184, 5276, 1052, 1268, 6, 1103, 349, 252, 52, 113, 7, 289, 15, 31, 2, 21, 52, 59, 32, 137, 514, 642, 386, 347, 259]"
42.3618649247,-71.1007746461,"[2889, 2304, 4562, 13740, 16123, 11386, 5594, 4098, 5040, 925, 5833, 5748, 4980, 4483, 5155, 2393, 2620, 1124, 2569, 229, 1481, 1919, 2196, 912, 1964, 3688, 2781, 3725, 1047, 332, 1749, 1790, 1609, 2044, 18061, 4333, 3698, 317, 716, 38, 902, 221, 205, 30, 91, 8, 190, 26, 30, 9, 21, 41, 48, 27, 207, 968, 154, 296, 204, 127]"
42.3618717505,-71.1007864153,"[1454, 2720, 6786, 9724, 10666, 9608, 7380, 6405, 14107, 2770, 14651, 8372, 5008, 2589, 2739, 1189, 1685, 378, 306, 19, 148, 242, 264, 196, 346, 826, 594, 529, 400, 149, 1110, 2252, 3160, 4792, 8384, 9425, 10681, 2529, 1809, 4, 819, 414, 171, 84, 99, 11, 251, 65, 56, 12, 59, 63, 66, 80, 126, 340, 180, 222, 322, 164]"
42.3619103866,-71.1008534326,"[3173, 4270, 2324, 1467, 1143, 918, 1186, 965, 1445, 794, 3272, 3635, 7658, 7495, 6744, 4228, 4494, 3486, 2258, 1382, 1857, 1056, 757, 812, 1093, 2979, 2427, 1354, 3104, 623, 4231, 5505, 5637, 10060, 18665, 16704, 10292, 3039, 1529, 7, 968, 624, 233, 131, 202, 17, 196, 73, 153, 16, 77, 118, 80, 111, 189, 244, 355, 290, 918, 937]"
42.3619274697,-71.1008824556,"[7282, 4587, 3853, 2745, 2557, 1755, 1983, 1263, 1715, 517, 3515, 2769, 3280, 3501, 5020, 5282, 6836, 3661, 2870, 1122, 1426, 1481, 1604, 808, 1666, 2039, 2403, 1786, 2786, 558, 5489, 7353, 12552, 10922, 11699, 11858, 6375, 2168, 1362, 1, 1202, 704, 229, 143, 264, 28, 363, 81, 153, 21, 70, 241, 130, 164, 350, 483, 718, 493, 951, 763]"
42.3619741244,-71.100959955,"[4832, 4914, 2629, 977, 836, 891, 1260, 1414, 3308, 2409, 3298, 6152, 7441, 6881, 10212, 8925, 5697, 2862, 1252, 793, 1324, 1030, 811, 861, 728, 250, 901, 229, 554, 190, 784, 937, 1112, 2432, 15621, 28270, 10682, 5490, 2592, 145, 995, 736, 240, 187, 291, 46, 276, 105, 145, 34, 91, 201, 155, 211, 311, 346, 539, 413, 1190, 1562]"
42.3620378622,-71.1010664774,"[3001, 1647, 933, 615, 533, 610, 923, 1799, 7243, 10395, 9322, 7558, 5336, 7592, 7486, 5570, 3085, 2377, 996, 279, 604, 548, 502, 608, 600, 190, 1071, 464, 471, 242, 722, 1342, 1376, 1488, 3693, 14715, 24781, 12576, 5360, 497, 1623, 1449, 405, 342, 476, 122, 370, 315, 402, 104, 163, 508, 398, 357, 443, 326, 515, 330, 787, 1415]"
42.3620732048,-71.1011208676,"[3465, 1411, 836, 657, 510, 479, 888, 1760, 7008, 10145, 9605, 6443, 4955, 7518, 7607, 6013, 3783, 1985, 1215, 322, 793, 448, 454, 269, 733, 202, 1054, 521, 678, 141, 600, 1276, 1185, 2622, 2673, 13105, 25174, 13599, 6202, 532, 1934, 1275, 420, 253, 561, 162, 429, 294, 366, 76, 266, 268, 237, 381, 428, 293, 769, 388, 1070, 1264]"
42.3621004578,-71.101177147,"[1519, 1614, 4103, 3710, 1986, 1850, 2095, 2006, 2554, 1702, 6274, 14789, 11616, 8950, 6390, 3372, 2460, 1358, 1146, 569, 904, 700, 784, 1129, 1168, 1376, 1789, 920, 1493, 737, 2075, 1600, 1699, 5840, 26445, 23807, 3319, 1038, 333, 4, 268, 204, 54, 33, 75, 12, 157, 35, 43, 12, 57, 40, 44, 62, 97, 287, 280, 229, 394, 394]"
42.3621647863,-71.1012830174,"[2534, 6350, 7268, 9074, 5481, 3213, 2810, 2620, 3335, 1951, 4165, 5709, 6940, 5973, 4319, 2075, 3521, 2189, 1752, 1155, 1650, 1764, 2006, 1583, 1452, 1548, 3575, 2245, 6531, 2953, 10260, 7868, 6115, 5403, 6114, 9301, 4118, 1326, 384, 3, 218, 43, 18, 11, 36, 0, 63, 12, 16, 1, 9, 30, 17, 16, 50, 132, 87, 77, 236, 295]"
42.3622291147,-71.1013888879,"[1503, 2184, 8155, 10446, 6147, 5789, 6110, 6636, 10111, 4929, 8410, 9914, 6853, 3795, 3814, 2957, 5203, 3708, 2681, 1508, 2224, 1703, 1304, 932, 1478, 997, 2191, 817, 939, 211, 1851, 2748, 7195, 15188, 4942, 2134, 1127, 194, 154, 0, 234, 23, 16, 3, 8, 0, 28, 0, 8, 0, 2, 37, 18, 2, 24, 108, 61, 89, 82, 75]"
42.3622934431,-71.1014947585,"[952, 2264, 3203, 9229, 6046, 6228, 4797, 4674, 5001, 2996, 4730, 5322, 4796, 3945, 4413, 3469, 3605, 3069, 2008, 1185, 1990, 1629, 2423, 2863, 3546, 2960, 4021, 1464, 4275, 1506, 5616, 7849, 13158, 16620, 4496, 1312, 404, 115, 144, 0, 176, 37, 14, 5, 55, 0, 59, 20, 16, 0, 18, 13, 23, 39, 86, 90, 189, 165, 331, 341]"
42.3623577716,-71.1016006292,"[952, 2264, 3203, 9229, 6046, 6228, 4797, 4674, 5001, 2996, 4730, 5322, 4796, 3945, 4413, 3469, 3605, 3069, 2008, 1185, 1990, 1629, 2423, 2863, 3546, 2960, 4021, 1464, 4275, 1506, 5616, 7849, 13158, 16620, 4496, 1312, 404, 115, 144, 0, 176, 37, 14, 5, 55, 0, 59, 20, 16, 0, 18, 13, 23, 39, 86, 90, 189, 165, 331, 341]"
42.3624126549,-71.1016909526,"[967, 2264, 3258, 8837, 6477, 6173, 4795, 4444, 5220, 2876, 4837, 5376, 4775, 3935, 4326, 3371, 3618, 3046, 2110, 1290, 1941, 1673, 2412, 2957, 3521, 2785, 4194, 1515, 4209, 1439, 5924, 7659, 13165, 16372, 4515, 1357, 452, 115, 147, 0, 196, 36, 15, 5, 53, 0, 60, 19, 19, 0, 17, 18, 15, 37, 82, 82, 182, 157, 326, 334]"
42.3624769899,-71.1017968162,"[4439, 2789, 2239, 1520, 2067, 3406, 3921, 3877, 5502, 4648, 8225, 9885, 6852, 4492, 3766, 3100, 2430, 1473, 885, 369, 570, 485, 542, 510, 497, 367, 903, 401, 563, 141, 1740, 2094, 3036, 6103, 9480, 24231, 14901, 2636, 1181, 43, 717, 817, 240, 195, 357, 26, 657, 137, 202, 19, 87, 171, 214, 239, 350, 534, 1213, 1345, 3425, 2746]"
42.3625413249,-71.1019026799,"[4439, 2789, 2239, 1520, 2067, 3406, 3921, 3877, 5502, 4648, 8225, 9885, 6852, 4492, 3766, 3100, 2430, 1473, 885, 369, 570, 485, 542, 510, 497, 367, 903, 401, 563, 141, 1740, 2094, 3036, 6103, 9480, 24231, 14901, 2636, 1181, 43, 717, 817, 240, 195, 357, 26, 657, 137, 202, 19, 87, 171, 214, 239, 350, 534, 1213, 1345, 3425, 2746]"
42.3626056599,-71.1020085437,"[4724, 2179, 1651, 1500, 1679, 2739, 2192, 1979, 2559, 1512, 3178, 4012, 4247, 4494, 5087, 5262, 5492, 4054, 3022, 1936, 2440, 1634, 1464, 1130, 1100, 596, 1096, 255, 758, 182, 1164, 913, 711, 1141, 2549, 13158, 22910, 10394, 3929, 861, 1450, 806, 486, 171, 304, 121, 303, 264, 266, 60, 172, 343, 319, 427, 765, 1365, 2702, 4194, 9286, 4313]"
