43554,48840,53391,2503,4713,242,6757,160000,40.7437071689,-73.9830610788
40601,45438,63708,1524,3517,310,4902,160000,40.7437562988,-73.9831779769
47239,28683,77748,547,2051,108,3624,160000,40.7438054287,-73.983294875
63660,29965,58872,439,3025,52,3987,160000,40.7438545585,-73.9834117733
51113,11956,84582,6738,2073,608,2930,160000,40.7439036884,-73.9835286716
42208,39291,72882,530,2270,53,2766,160000,40.743945,-73.983627
42567,38404,72742,488,2892,51,2856,160000,40.7439528183,-73.98364557
24915,38972,86786,897,3126,108,5196,160000,40.7439942872,-73.9837437831
15080,52379,81344,1595,1998,50,7554,160000,40.7440435743,-73.9838605663
118517,26114,5121,260,8453,1,1534,160000,40.7440928615,-73.9839773495
120831,33531,2156,3,2402,0,1077,160000,40.7441421486,-73.9840941329
117171,19155,19970,515,1980,83,1126,160000,40.7441914358,-73.9842109163
59929,20804,68632,1128,2451,220,6836,160000,40.744240723,-73.9843276999
57015,41239,42746,2453,3151,343,13053,160000,40.7442900101,-73.9844444835
56979,38551,53340,1779,2400,187,6764,160000,40.7443392973,-73.9845612672
71987,19620,55990,588,2471,87,9257,160000,40.7443885844,-73.984678051
75829,27442,48997,511,2823,34,4364,160000,40.7444378716,-73.9847948348
70339,17199,62781,3329,2564,35,3753,160000,40.7444871587,-73.9849116188
64533,28144,57504,1370,5434,18,2997,160000,40.7445364459,-73.9850284028
79043,21737,49044,3149,4366,372,2289,160000,40.7445857331,-73.985145187
67456,17368,66145,4224,2810,346,1651,160000,40.744627,-73.985243
67743,16958,65906,4248,2847,325,1973,160000,40.7446350202,-73.9852619712
59790,23489,69907,1877,2407,590,1940,160000,40.7446761476,-73.9853598867
42682,25251,80543,1198,3288,698,6340,160000,40.7447252952,-73.9854767735
43432,31046,74045,1158,4642,102,5575,160000,40.7447744428,-73.9855936604
45962,48298,53054,551,3386,151,8598,160000,40.7448235904,-73.9857105474
46291,43147,62260,466,3125,249,4462,160000,40.744872738,-73.9858274345
59071,22410,69718,772,1479,223,6327,160000,40.7449218856,-73.9859443216
54355,13727,86501,956,1815,418,2228,160000,40.7449710331,-73.9860612088
54355,13727,86501,956,1815,418,2228,160000,40.7450201807,-73.9861780962
46327,20602,86672,618,2674,569,2538,160000,40.7450693283,-73.9862949836
56343,17313,80048,1079,2025,415,2777,160000,40.7451184759,-73.9864118711
32835,40711,76738,1536,5766,76,2338,160000,40.7451676235,-73.9865287587
37865,37358,75219,2037,5711,57,1753,160000,40.7452167711,-73.9866456463
45645,31554,74168,1275,5104,54,2200,160000,40.7452659187,-73.9867625341
29138,33496,86248,2659,4862,31,3566,160000,40.7453150663,-73.9868794219
30575,54262,55363,6301,5368,62,8069,160000,40.7201755,-73.9790849
36080,55351,51529,5002,4391,33,7614,160000,40.7202249797,-73.9792014995
47251,76057,22676,2139,7904,56,3917,160000,40.7202744594,-73.9793180991
59411,65294,23624,1880,7607,115,2069,160000,40.720323939,-73.9794346988
70649,74340,9715,489,3245,44,1518,160000,40.7203734187,-73.9795512986
71917,78027,2750,433,6557,24,292,160000,40.7204228984,-73.9796678985
51867,70432,27274,1679,6924,14,1810,160000,40.7204723781,-73.9797844984
79383,46885,25675,943,3255,76,3783,160000,40.7205218578,-73.9799010984
86012,45403,23534,674,2830,27,1520,160000,40.7205713375,-73.9800176986
61846,40173,47867,1973,3843,58,4240,160000,40.7206208171,-73.9801342988
66506,59385,27063,756,2815,69,3406,160000,40.7206702968,-73.9802508991
94963,47534,12156,1011,2572,47,1717,160000,40.7207197765,-73.9803674995
87587,36164,28032,1185,2003,17,5012,160000,40.7207692562,-73.9804840999
55681,51609,37433,1691,4072,17,9497,160000,40.7208187359,-73.9806007005
48264,64343,28807,1099,7483,43,9961,160000,40.7208682155,-73.9807173011
43301,51698,49316,1953,5887,62,7783,160000,40.7209176952,-73.9808339019
53177,44445,45273,1875,9235,64,5931,160000,40.7209671749,-73.9809505027
55700,28902,70007,460,3208,51,1672,160000,40.7210166546,-73.9810671036
55906,28547,70343,454,3138,69,1543,160000,40.7210227,-73.9810814
60634,59793,30084,341,7537,70,1541,160000,40.7210661343,-73.9811837046
61347,60176,29641,349,6803,125,1559,160000,40.721071945,-73.9811981739
52708,46642,52240,1068,4243,165,2934,160000,40.7211211899,-73.9813149478
46560,48242,57648,1088,4470,319,1673,160000,40.7211704349,-73.9814317219
61582,46987,45966,440,3181,106,1738,160000,40.7212196798,-73.981548496
63374,75101,15510,941,3605,119,1350,160000,40.7212689248,-73.9816652702
72881,57595,20996,437,2865,32,5194,160000,40.7213181697,-73.9817820445
62336,71716,19474,589,4170,44,1671,160000,40.7213674147,-73.9818988189
51224,56844,44243,839,4418,32,2400,160000,40.7214166597,-73.9820155934
34698,105611,12787,1144,3413,8,2339,160000,40.7214659046,-73.9821323679
42608,53136,57170,263,1759,13,5051,160000,40.7215151496,-73.9822491426
65900,57958,28666,1017,2534,46,3879,160000,40.7215643945,-73.9823659173
71245,60319,19651,399,4430,224,3732,160000,40.7216136395,-73.9824826921
64684,53143,32381,822,4949,63,3958,160000,40.7216628844,-73.982599467
45160,73170,31917,1673,5752,34,2294,160000,40.7217121294,-73.982716242
23289,89520,35658,1001,8351,25,2156,160000,40.7217613744,-73.9828330171
25818,91100,33254,847,5987,8,2986,160000,40.7218106193,-73.9829497923
79849,52530,21916,481,3706,38,1480,160000,40.7218598643,-73.9830665675
72306,58872,20673,1125,4636,47,2341,160000,40.7219091092,-73.9831833429
59356,70999,23878,283,3357,37,2090,160000,40.7219583542,-73.9833001183
